1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,520,410,144,69,94,72,250,2204
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Germany (FRG),,,,,,85,1262,1820,2212,726,872,824,1284,2575,2822,2776,2546,889,818,1039,1357,2181,523,1240,1600,1502,1301,969,622,28,104,190,257,250,260,109,294,321,383,642,678,648,650,524,383,189,164,61,543,75,73,99,42,22,89,56,16,16,269,319,255,47,25,42,46,5,5,3,42025
Ghana,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,8,,,,,,2,,,,2,2,,4,,,,32
Greece,95,398,307,86,79,107,92,354,447,286,254,82,330,98,527,486,202,241,69,233,100,303,166,191,418,681,971,440,504,314,245,207,41,99,86,56,87,31,110,762,766,349,1400,361,195,531,104,651,990,280,258,239,173,1526,828,102,20,253,10,924,151,19,6,9,61,92,22,50,20959
Guatemala,,6,,,2,8,6,,,,16,,1,7,8,5,,1,16,1,,45,1,1,10,28,7,,,,1,38,16,0,7,0,2,0,0,0,0,0,,13,4,4,,,,,,,,,,,,,,,,,,,,,,,256
Guinea,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,2,,,,3,4,1,1,0,9,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Honduras,,1,2,,1,,9,1,20,1,,,14,,,1,5,,,2,,,,2,,31,6,11,,9,13,13,29,12,17,9,66,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,,,2,1,,352
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,4,18,4,,2,,,,,83
India,,1,67,,52,189,4,3,,,,102,1,94,,,,,2,1,1,2,2,1,1,1,1,,,,,,,,,,4,1,38,2,4,6,20,,8,,2,4,2,4,1,8,5,,,,84,89,5,2,54,203,139,986,1119,268,24,252,3855
Indonesia,0,0,0,6,0,1,,10,57,,174,184,15,3,2,1,7,1,1,1,20,86,5,46,71,,82,50,85,56,315,87,187,122,24,11,22,0,60,64,188,2,,4,4,4,19,23,8,24,4,4,4,8,4,4,11,17,14,,,0,35,85,150,82,94,243,2892
